Line,Section,Block Number,Block Length (m),Block Grade (%),Speed Limit (Km/Hr),Station,Switch,Underground,Railroad Crossing,ELEVATION (M),CUMALTIVE ELEVATION (M),Switch Block One,Switch Block Two,Arrow Direction,Station Side
Green,A,1,100,0.5,55,,,,,0.5,0.5,,,Head,
Green,A,2,100,1,55,PIONEER,,,,1,1.5,,,,right
Green,A,3,100,1.5,55,,,,,1.5,3,,,Tail,
Green,B,4,100,2,55,,,,,2,5,,,Head,
Green,B,5,100,3,55,,,,,3,8,,,,
Green,B,6,100,4,55,,,,,4,12,,,Tail,
Green,C,7,100,5,55,,,,,5,17,,,Head,
Green,C,8,100,0,55,,,,,0,17,,,,
Green,C,9,100,-5,55,EDGEBROK,,,,-5,12,,,,right
Green,C,10,100,-5,55,,,,,-5,7,,,,
Green,C,11,100,-4,55,,,,,-4,3,,,,
Green,C,12,100,-3,55,,,,,-3,0,,,Tail,
Green,D,13,150,0,70,,TRUE,,,0,0,12,1,Head,
Green,D,14,150,0,70,,,,,0,0,,,,
Green,D,15,150,0,70,,,,,0,0,,,,
Green,D,16,150,0,70,GOOCHLAND,,,,0,0,,,Head,left
Green,E,17,150,0,60,,,,,0,0,,,Head,
Green,E,18,150,0,60,,,,,0,0,,,,
Green,E,19,150,0,60,,,,TRUE,0,0,,,,
Green,E,20,150,0,60,,,,,0,0,,,Head,
Green,F,21,300,0,70,,,,,0,0,,,Head,
Green,F,22,300,0,70,WHITED,,,,0,0,,,,left
Green,F,23,300,0,70,,,,,0,0,,,,
Green,F,24,300,0,70,,,,,0,0,,,,
Green,F,25,200,0,70,,,,,0,0,,,,
Green,F,26,100,0,70,,,,,0,0,,,,
Green,F,27,50,0,70,,,,,0,0,,,,
Green,F,28,50,0,70,,TRUE,,,0,0,29,150,Head,
Green,G,29,50,0,70,,,,,0,0,,,Tail,
Green,G,30,50,0,70,,,,,0,0,,,,
Green,G,31,50,0,70,SOUTH BANK,,,,0,0,,,,left
Green,G,32,50,0,70,,,,,0,0,,,Head,
Green,H,33,50,0,70,,,,,0,0,,,Tail,
Green,H,34,50,0,70,,,,,0,0,,,,
Green,H,35,50,0,70,,,,,0,0,,,Head,
Green,I,36,50,0,70,,,TRUE,,0,0,,,Tail,
Green,I,37,50,0,70,,,TRUE,,0,0,,,,
Green,I,38,50,0,70,,,TRUE,,0,0,,,,
Green,I,39,50,0,70,CENTRAL,,TRUE,,0,0,,,,right
Green,I,40,50,0,70,,,TRUE,,0,0,,,,
Green,I,41,50,0,70,,,TRUE,,0,0,,,,
Green,I,42,50,0,70,,,TRUE,,0,0,,,,
Green,I,43,50,0,70,,,TRUE,,0,0,,,,
Green,I,44,50,0,70,,,TRUE,,0,0,,,,
Green,I,45,50,0,70,,,TRUE,,0,0,,,,
Green,I,46,50,0,70,,,TRUE,,0,0,,,,
